accession,gene,length,protein_name
Q63HN8,RNF213,5207,E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)
Q63HQ0,AP1AR,302,AP-1 complex-associated regulatory protein (2c18) (Adaptor-related protein complex 1-associated regulatory protein) (Gamma-1-adaptin brefeldin A resistance protein) (GBAR) (Gamma-BAR) (Gamma-A1-adaptin and kinesin interactor) (Gadkin)
Q63HQ2,EGFLAM,1017,"Pikachurin (Agrin-like protein) (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)"
Q63HR2,TNS2,1409,Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)
Q63ZY3,KANK2,851,KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein)
Q63ZY6,NSUN5P2,315,Putative methyltransferase NSUN5C (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 5C) (Williams-Beuren syndrome chromosomal region 20C protein)
Q641Q2,WASHC2A,1341,WASH complex subunit 2A
Q643R3,LPCAT4,524,Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase)
Q64LD2,WDR25,544,WD repeat-containing protein 25
Q658P3,STEAP3,488,Metalloreductase STEAP3 (EC 1.16.1.-) (Dudulin-2) (Six-transmembrane epithelial antigen of prostate 3) (Tumor suppressor-activated pathway protein 6) (hTSAP6) (pHyde) (hpHyde)
Q659A1,ICE2,982,Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2)
Q659C4,LARP1B,914,La-related protein 1B (La ribonucleoprotein domain family member 1B) (La ribonucleoprotein domain family member 2) (La-related protein 2)
Q66GS9,CEP135,1140,Centrosomal protein of 135 kDa (Cep135) (Centrosomal protein 4)
Q66K64,DCAF15,600,DDB1- and CUL4-associated factor 15
Q66K74,MAP1S,1059,Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]
Q66K79,CPZ,652,Carboxypeptidase Z (CPZ) (EC 3.4.17.-)
Q66K80,RUSC1-AS1,236,Putative uncharacterized protein RUSC1-AS1 (RUSC1 antisense RNA 1) (RUSC1 antisense gene protein 1)
Q66K89,E4F1,784,Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F)
Q66PJ3,ARL6IP4,237,ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37)
Q674R7,ATG9B,924,Autophagy-related protein 9B (APG9-like 2) (Nitric oxide synthase 3-overlapping antisense gene protein) (Protein sONE)
Q674X7,KAZN,775,Kazrin
Q676U5,ATG16L1,607,Autophagy-related protein 16-1 (APG16-like 1)
Q67FW5,QTGAL,346,"Queuosine-tRNA galactosyltransferase (QTGAL) (EC 2.4.1.-) (Beta-1,3-N-acetylglucosaminyltransferase 8) (BGnT-8) (Beta-1,3-Gn-T8) (Beta3Gn-T8) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1) (BGnT-like protein 1) (Beta1,3-N-acetylglucosaminyltransferase-like protein 1) (Beta3Gn-T-like protein 1) (Beta3GnTL1)"
Q684P5,RAP1GAP2,730,Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)
Q685J3,MUC17,4493,Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3)
Q687X5,STEAP4,459,"Metalloreductase STEAP4 (EC 1.16.1.-) (Six-transmembrane epithelial antigen of prostate 4) (SixTransMembrane protein of prostate 2) (Tumor necrosis factor, alpha-induced protein 9)"
Q68CJ6,NUGGC,796,Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)
Q68CJ9,CREB3L3,461,Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3]
Q68CK6,ACSM2B,577,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)"
Q68CP4,HGSNAT,663,Heparan-alpha-glucosaminide N-acetyltransferase (EC 2.3.1.78) (Transmembrane protein 76)
Q68CP9,ARID2,1835,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)
Q68CQ1,MROH7,1323,Maestro heat-like repeat-containing protein family member 7 (HEAT repeat-containing protein 8)
Q68CQ4,UTP25,756,U3 small nucleolar RNA-associated protein 25 homolog (Digestive organ expansion factor homolog) (UTP25 small subunit processor component)
Q68CZ1,RPGRIP1L,1315,Protein fantom (Nephrocystin-8) (RPGR-interacting protein 1-like protein) (RPGRIP1-like protein)
Q68CZ2,TNS3,1445,Tensin-3 (EC 3.1.3.-) (Tensin-like SH2 domain-containing protein 1) (Tumor endothelial marker 6)
Q68CZ6,HAUS3,603,HAUS augmin-like complex subunit 3
Q68D06,SLFN13,897,Schlafen family member 13 (EC 3.1.-.-) (Schlafen-13) (hSLFN13)
Q68D10,SPTY2D1,685,Protein SPT2 homolog (Protein KU002155) (SPT2 domain-containing protein 1)
Q68D85,NCR3LG1,454,Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6)
Q68D86,CCDC102B,513,Coiled-coil domain-containing protein 102B
Q68D91,MBLAC2,279,Acyl-coenzyme A thioesterase MBLAC2 (Acyl-CoA thioesterase MBLAC2) (EC 3.1.2.2) (Beta-lactamase MBLAC2) (EC 3.5.2.6) (Metallo-beta-lactamase domain-containing protein 2) (Palmitoyl-coenzyme A thioesterase MBLAC2)
Q68DA7,FMN1,1419,Formin-1 (Limb deformity protein homolog)
Q68DC2,ANKS6,871,Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6)
Q68DD2,PLA2G4F,849,Cytosolic phospholipase A2 zeta (cPLA2-zeta) (EC 3.1.1.4) (Phospholipase A2 group IVF)
Q68DE3,USF3,2245,Basic helix-loop-helix domain-containing protein USF3 (Upstream transcription factor 3)
Q68DK2,ZFYVE26,2539,Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin)
Q68DK7,MSL1,614,Male-specific lethal 1 homolog (MSL-1) (Male-specific lethal 1-like 1) (MSL1-like 1) (Male-specific lethal-1 homolog 1)
Q68DQ2,CRYBG3,2970,Very large A-kinase anchor protein (vlAKAP) (Beta/gamma crystallin domain-containing protein 3)
Q68DV7,RNF43,783,E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)
Q68DX3,FRMPD2,1309,FERM and PDZ domain-containing protein 2 (PDZ domain-containing protein 4) (PDZ domain-containing protein 5C)
Q68E01,INTS3,1043,Integrator complex subunit 3 (Int3) (SOSS complex subunit A) (Sensor of single-strand DNA complex subunit A) (SOSS-A) (Sensor of ssDNA subunit A)
Q68EA5,ZNF57,555,Zinc finger protein 57 (Zinc finger protein 424)
Q68EM7,ARHGAP17,881,Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)
Q68EN5,MATCAP1,471,Microtubule-associated tyrosine carboxypeptidase 1 (EC 3.4.17.17) (Microtubule-associated tyrosine carboxypeptidase)
Q68G74,LHX8,356,LIM/homeobox protein Lhx8 (LIM homeobox protein 8)
Q68G75,LEMD1,181,LEM domain-containing protein 1 (Cancer/testis antigen 50) (CT50) (LEM domain protein 1) (LEMP-1)
Q68J44,DUSP29,220,"Dual specificity phosphatase 29 (Dual specificity phosphatase 27) (Dual specificity phosphatase DUPD1) (EC 3.1.3.16, EC 3.1.3.48)"
Q69383,ERVK-6,105,Endogenous retrovirus group K member 6 Rec protein (Central open reading frame) (c-orf) (cORF) (Endogenous retrovirus K protein 6) (HERV-K(C7) Rec protein) (HERV-K(HML-2.HOM) Rec protein) (HERV-K108 Rec protein) (HERV-K_7p22.1 provirus Rec protein) (K-Rev) (Rev-like protein) (Rev/Rex homolog)
Q69384,ERVK-6,699,Endogenous retrovirus group K member 6 Env polyprotein (EnvK2 protein) (Envelope polyprotein) (HERV-K(C7) envelope protein) (HERV-K(HML-2.HOM) envelope protein) (HERV-K108 envelope protein) (HERV-K_7p22.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]
Q693B1,KCTD11,232,BTB/POZ domain-containing protein KCTD11 (KCASH1 protein) (Potassium channel tetramerization domain-containing protein 11) (RING-type E3 ubiquitin transferase subunit KCTD11)
Q695T7,SLC6A19,634,Sodium-dependent neutral amino acid transporter B(0)AT1 (Solute carrier family 6 member 19) (System B(0) neutral amino acid transporter AT1)
Q69YG0,TMEM42,159,Transmembrane protein 42
Q69YH5,CDCA2,1023,Cell division cycle-associated protein 2 (Recruits PP1 onto mitotic chromatin at anaphase protein) (Repo-Man)
Q69YI7,NAIF1,327,Nuclear apoptosis-inducing factor 1
Q69YN4,VIRMA,1812,Protein virilizer homolog
Q69YQ0,SPECC1L,1117,Cytospin-A (Renal carcinoma antigen NY-REN-22) (Sperm antigen with calponin homology and coiled-coil domains 1-like) (SPECC1-like protein)
Q6A162,KRT40,431,"Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)"
Q6A163,KRT39,491,"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"
Q6AI14,SLC9A4,798,Sodium/hydrogen exchanger 4 (Na(+)/H(+) exchanger 4) (NHE-4) (Solute carrier family 9 member 4)
Q6AI39,BICRAL,1079,BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like)
Q6AWC2,WWC2,1192,Protein WWC2 (BH-3-only member B) (WW domain-containing protein 2)
Q6AZY7,SCARA3,606,Scavenger receptor class A member 3 (Cellular stress response gene protein)
Q6AZZ1,TRIM68,485,E3 ubiquitin-protein ligase TRIM68 (EC 2.3.2.27) (RING finger protein 137) (RING-type E3 ubiquitin transferase TRIM68) (SSA protein SS-56) (SS-56) (Tripartite motif-containing protein 68)
Q6B0I6,KDM4D,523,Lysine-specific demethylase 4D (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3D) (Jumonji domain-containing protein 2D) ([histone H3]-trimethyl-L-lysine(9) demethylase 4D)
Q6B8I1,DUSP13A,188,Dual specificity protein phosphatase 13A (DUSP13A) (EC 3.1.3.16) (EC 3.1.3.48) (Branching-enzyme interacting DSP) (Muscle-restricted DSP) (MDSP)
Q6BAA4,FCRLB,426,Fc receptor-like B (Fc receptor homolog expressed in B-cells protein 2) (FREB-2) (Fc receptor-like and mucin-like protein 2) (Fc receptor-like protein 2) (Fc receptor-related protein Y) (FcRY)
Q6BCY4,CYB5R2,276,NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2)
Q6BDI9,REP15,236,Rab15 effector protein
Q6BDS2,BLTP3A,1440,Bridge-like lipid transfer protein family member 3A (ICBP90-binding protein 1) (UHRF1-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1)
Q6DD88,ATL3,541,Atlastin-3 (AT3) (ATL-3) (EC 3.6.5.-)
Q6DHV7,MAPDA,355,"N6-Methyl-AMP deaminase (EC 3.5.4.-) (Adenosine deaminase-like protein) (N6,N6-dimethyl-AMP deaminase) (EC 3.5.4.-) (N6-isopentenyl-AMP deaminase) (EC 3.5.4.-) (N6-mAMP deaminase) (HsMAPDA) (N6-methyl-AMP aminohydrolase)"
Q6DJT9,PLAG1,500,Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)
Q6DKI2,LGALS9C,356,Galectin-9C (Gal-9C) (Galectin-9-like protein B)
Q6DKI7,PVRIG,326,Transmembrane protein PVRIG (CD112 receptor) (CD112R) (Poliovirus receptor-related immunoglobulin domain-containing protein)
Q6DKJ4,NXN,435,Nucleoredoxin (EC 1.8.1.8)
Q6DKK2,TTC19,380,"Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)"
Q6DN03,H2BC20P,193,Putative histone H2B type 2-C (H2B-clustered histone 20 pseudogene) (Histone H2B.t) (H2B/t)
Q6DN12,MCTP2,878,Multiple C2 and transmembrane domain-containing protein 2
Q6DN14,MCTP1,999,Multiple C2 and transmembrane domain-containing protein 1
Q6DN72,FCRL6,434,Fc receptor-like protein 6 (FcR-like protein 6) (FcRL6) (Fc receptor homolog 6) (FcRH6) (IFGP6)
Q6DN90,IQSEC1,963,IQ motif and SEC7 domain-containing protein 1 (ADP-ribosylation factors guanine nucleotide-exchange protein 100) (ADP-ribosylation factors guanine nucleotide-exchange protein 2) (Brefeldin-resistant Arf-GEF 2 protein) (BRAG2)
Q6DRA6,H2BC19P,164,Putative histone H2B type 2-D (H2B-clustered histone 19 pseudogene)
Q6DT37,CDC42BPG,1551,Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)
Q6E0U4,DMKN,476,Dermokine (Epidermis-specific secreted protein SK30/SK89)
Q6E213,AWAT2,333,Acyl-CoA wax alcohol acyltransferase 2 (EC 2.3.1.75) (11-cis-specific retinyl-ester synthase) (11-cis-RE-synthase) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diacylglycerol O-acyltransferase 2-like protein 4) (EC 2.3.1.20) (Diacylglycerol O-acyltransferase candidate 4) (hDC4) (Long-chain-alcohol O-fatty-acyltransferase 2) (Multifunctional O-acyltransferase) (Wax synthase) (hWS)
Q6ECI4,ZNF470,717,Zinc finger protein 470 (Chondrogenesis zinc finger protein 1) (CZF-1)
Q6EEV6,SUMO4,95,Small ubiquitin-related modifier 4 (SUMO-4) (Small ubiquitin-like protein 4)
Q6EIG7,CLEC6A,209,C-type lectin domain family 6 member A (C-type lectin superfamily member 10) (Dendritic cell-associated C-type lectin 2) (DC-associated C-type lectin 2) (Dectin-2)
Q6EMB2,TTLL5,1281,Tubulin polyglutamylase TTLL5 (EC 6.3.2.-) (SRC1 and TIF2-associated modulatory protein) (STAMP protein) (Tubulin--tyrosine ligase-like protein 5)
Q6EMK4,VASN,673,Vasorin (Protein slit-like 2)
Q6F5E8,CARMIL2,1435,"Capping protein, Arp2/3 and myosin-I linker protein 2 (Capping protein regulator and myosin 1 linker 2) (F-actin-uncapping protein RLTPR) (Leucine-rich repeat-containing protein 16C) (RGD, leucine-rich repeat, tropomodulin and proline-rich-containing protein)"
Q6FHJ7,SFRP4,346,"Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)"
Q6FI13,H2AC18; H2AC19,130,Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)
Q6FI81,CIAPIN1,312,Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)
Q6FIF0,ZFAND6,208,AN1-type zinc finger protein 6 (Associated with PRK1 protein) (Zinc finger A20 domain-containing protein 3)
Q6GMR7,FAAH2,532,Fatty-acid amide hydrolase 2 (EC 3.5.1.99) (Amidase domain-containing protein) (Anandamide amidohydrolase 2) (Oleamide hydrolase 2)
Q6GMV2,SMYD5,418,Protein-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.-) (Protein NN8-4AG) (Retinoic acid-induced protein 15) (SET and MYND domain-containing protein 5) ([histone H3]-lysine20 N-trimethyltransferase SMYD5) (EC 2.1.1.372) ([histone H4]-lysine36 N-trimethyltransferase SMYD5) (EC 2.1.1.359)
Q6GPH4,XAF1,301,XIAP-associated factor 1 (BIRC4-binding protein)
Q6GPH6,ITPRIPL1,555,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"
Q6GQQ9,OTUD7B,843,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Cezanne) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne)
Q6GTS8,PM20D1,502,N-fatty-acyl-amino acid synthase/hydrolase PM20D1 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1)
Q6GTX8,LAIR1,287,Leukocyte-associated immunoglobulin-like receptor 1 (LAIR-1) (hLAIR1) (CD antigen CD305)
Q6GYQ0,RALGAPA1,2036,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating Rap/Ran-GAP domain-like 1) (Tuberin-like protein 1) (p240)
Q6H3X3,RAET1G,334,UL-16 binding protein 5 (Retinoic acid early transcript 1G protein)
Q6H8Q1,ABLIM2,611,Actin-binding LIM protein 2 (abLIM-2) (Actin-binding LIM protein family member 2)
Q6HA08,ASTL,431,Astacin-like metalloendopeptidase (EC 3.4.-.-) (Oocyte astacin) (Ovastacin) (ZP2-proteinase)
Q6I9Y2,THOC7,204,THO complex subunit 7 (Functional spliceosome-associated protein 24) (fSAP24) (Ngg1-interacting factor 3-like protein 1-binding protein 1) (NIF3L1-binding protein 1) (hTREX30)
Q6IA17,SIGIRR,410,Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8)
Q6IA69,NADSYN1,706,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase)
Q6IA86,ELP2,826,Elongator complex protein 2 (ELP2) (SHINC-2) (STAT3-interacting protein 1) (StIP1)
Q6IAA8,LAMTOR1,161,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho)
Q6IB77,GLYAT,296,Glycine N-acyltransferase (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase) (AAc) (Aralkyl acyl-CoA N-acyltransferase) (Aralkyl acyl-CoA:amino acid N-acyltransferase) (Benzoyl-coenzyme A:glycine N-acyltransferase) (Glycine N-benzoyltransferase) (EC 2.3.1.71) (HRP-1(CLP))
Q6IBS0,TWF2,349,Twinfilin-2 (A6-related protein) (hA6RP) (Protein tyrosine kinase 9-like) (Twinfilin-1-like protein)
Q6IBW4,NCAPH2,605,Condensin-2 complex subunit H2 (Chromosome-associated protein H2) (hCAP-H2) (Kleisin-beta) (Non-SMC condensin II complex subunit H2)
Q6IC98,GRAMD4,578,GRAM domain-containing protein 4 (Death-inducing protein)
Q6ICB0,DESI1,168,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Palmitoyl protein thioesterase DESI1) (EC 3.1.2.22) (Polyubiquitinated substrate transporter) (POST) (S-depalmitoylase DESI1)
Q6ICB4,PHETA2,259,Sesquipedalian-2 (Ses2) (27 kDa inositol polyphosphate phosphatase interacting protein B) (IPIP27B) (PH domain-containing endocytic trafficking adaptor 2)
Q6ICG8,WBP2NL,309,Postacrosomal sheath WW domain-binding protein (WW domain-binding protein 2-like)
Q6ICL3,TANGO2,276,Transport and Golgi organization protein 2 homolog
Q6ICL7,SLC35E4,350,Solute carrier family 35 member E4
Q6IE81,JADE1,842,Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17)
Q6IEG0,SNRNP48,339,U11/U12 small nuclear ribonucleoprotein 48 kDa protein (U11/U12 snRNP 48 kDa protein) (U11/U12-48K)
Q6IMI6,SULT1C3,304,Sulfotransferase 1C3 (ST1C3) (EC 2.8.2.1) (EC 2.8.2.2)
Q6IMN6,CAPRIN2,1127,Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (Gastric cancer multidrug resistance-associated protein) (Protein EEG-1) (RNA granule protein 140)
Q6IN84,MRM1,353,"rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1145)-2'-O)-methyltransferase) (16S rRNA [Gm1145] 2'-O-methyltransferase)"
Q6IN85,PPP4R3A,833,Serine/threonine-protein phosphatase 4 regulatory subunit 3A (SMEK homolog 1)
Q6IPM2,IQCE,695,IQ domain-containing protein E
Q6IPU0,CENPP,288,Centromere protein P (CENP-P)
Q6IQ16,SPOPL,392,Speckle-type POZ protein-like (HIB homolog 2) (Roadkill homolog 2)
Q6IQ19,CCSAP,270,"Centriole, cilia and spindle-associated protein"
Q6IQ20,NAPEPLD,393,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54)
